text,department
wifi not working,IT
internet connection issue,IT
computer not turning on,IT
lab system crashed,IT
software installation required,IT
printer not working,IT
network access denied,IT
email not working,IT
system running slow,IT
projector not functioning in lab,IT
college website down,IT
online portal login issue,IT
camera not working in classroom,IT
smart board not responding,IT
college app not working,IT
LAN cable disconnected,IT
USB ports not working in lab,IT
antivirus not installed,IT
server downtime issue,IT
screen flickering in lab,IT
keyboard not working in computer lab,IT
mouse not responding in lab,IT
desktop computer freezing,IT
internet speed very slow,IT
cannot access college email,IT
VPN not connecting,IT
software license expired,IT
computer lab booking system down,IT
online exam portal not loading,IT
headphones not working in language lab,IT
router not working in department,IT
network printer offline,IT
computer makes loud noise,IT
monitor not displaying properly,IT
hard disk issue in lab system,IT
RAM issue in lab computer,IT
browser not opening on lab system,IT
zoom app not working,IT
Google Meet not connecting,IT
lab computer login not working,IT
wifi password not working,IT
internet disconnected in hostel block,IT
lab system blue screen error,IT
computer restarting automatically,IT
software update failing on lab PC,IT
projector remote not working,IT
college portal password reset not working,IT
network drive not accessible,IT
lab printer showing offline,IT
campus network very slow during exams,IT
smart board touch not responding,IT
computer lab AC making noise but system overheats,IT
display driver issue in lab,IT
lab headset microphone not working,IT
online assignment portal keeps logging out,IT
video conferencing audio issue in lab,IT
campus wifi not reaching hostel,IT
lab system date and time wrong,IT
cannot install required software in lab,IT
graphics card issue in design lab,IT
leave request not approved,HR
attendance not updated in portal,HR
certificate request pending,HR
student ID card not issued,HR
staff leave balance incorrect,HR
internship approval pending,HR
bonafide certificate request pending,HR
employee details update required,HR
payslip not generated,HR
transfer request pending,HR
job posting not updated,HR
recruitment process delayed,HR
staff grievance not addressed,HR
performance review pending,HR
HR portal not accessible,HR
no offer letter received,HR
joining formalities incomplete,HR
experience certificate not issued,HR
relieving letter not provided,HR
medical leave not sanctioned,HR
casual leave application rejected,HR
earned leave encashment pending,HR
maternity leave not processed,HR
dress code policy unclear,HR
employee ID card not issued,HR
promotion letter not received,HR
increment not reflected in salary,HR
new employee induction not scheduled,HR
staff training not organized,HR
HR helpdesk not responding,HR
work from home approval pending,HR
contract renewal not processed,HR
background verification pending,HR
staff accommodation request pending,HR
bonafide certificate for employee pending,HR
no dues certificate not issued by HR,HR
internship completion certificate not given,HR
employee attendance mismatch,HR
overtime payment not processed,HR
staff health insurance not activated,HR
leave without pay incorrectly marked,HR
attendance biometric not working for staff,HR
staff ID renewal pending,HR
deputation order not issued,HR
faculty recruitment notification delayed,HR
teaching assistant appointment letter pending,HR
research associate contract not renewed,HR
guest faculty payment not processed,HR
fellowship amount not disbursed,HR
staff provident fund issue,HR
gratuity calculation not done,HR
